seq,p_value,appears_random
0,0.0,0
1,0.611038896110389,1
2,0.36346365363463656,1
3,0.6104389561043896,1
4,0.7373262673732627,1
5,0.6388361163883611,1
6,0.21927807219278073,1
7,0.5662433756624338,1
8,0.30716928307169283,1
9,0.27947205279472054,1
10,0.9485051494850515,1
11,0.47335266473352666,1
12,0.44515548445155484,1
13,0.0341965803419658,0
14,0.6448355164483551,1
15,0.7968203179682032,1
16,0.42905709429057093,1
17,0.43195680431956807,1
18,0.6378362163783622,1
19,0.2946705329467053,1
20,0.8640135986401359,1
21,0.3591640835916408,1
22,0.4420557944205579,1
23,0.9897010298970103,1
24,0.5065493450654934,1
25,0.831916808319168,1
26,0.1506849315068493,1
27,0.5129487051294871,1
28,0.8536146385361464,1
29,0.3387661233876612,1
30,0.14908509149085092,1
31,0.052894710528947106,1
32,0.39216078392160786,1
33,0.3812618738126187,1
34,0.8175182481751825,1
35,0.44855514448555145,1
36,0.5338466153384661,1
37,0.33636636336366366,1
38,0.1324867513248675,1
39,0.008999100089991,0
40,0.2953704629537046,1
41,0.30716928307169283,1
42,0.1538846115388461,1
43,0.92000799920008,1
44,0.28587141285871415,1
45,0.77002299770023,1
46,0.8537146285371463,1
47,0.22077792220777923,1
48,0.49535046495350465,1
49,0.8171182881711829,1
50,0.764023597640236,1
51,0.9009099090090991,1
52,0.23307669233076692,1
53,0.051794820517948204,1
54,0.6100389961003899,1
55,0.9465053494650535,1
56,0.1683831616838316,1
57,0.31726827317268275,1
58,0.09579042095790422,1
59,0.055694430556944306,1
60,0.984001599840016,1
61,0.8716128387161284,1
62,0.6976302369763023,1
63,0.0084991500849915,0
64,0.6406359364063594,1
65,0.7124287571242875,1
66,0.7011298870112989,1
67,0.10688931106889311,1
68,0.7818218178182181,1
69,0.8506149385061493,1
70,0.0494950504949505,0
71,0.7127287271272873,1
72,0.7510248975102489,1
73,0.9612038796120388,1
74,0.30916908309169083,1
75,0.2665733426657334,1
76,0.39506049395060494,1
77,0.23697630236976303,1
78,0.45845415458454153,1
79,0.8008199180081992,1
80,0.05319468053194681,1
81,0.6695330466953304,1
82,0.05929407059294071,1
83,0.9878012198780122,1
84,0.8172182781721827,1
85,0.557944205579442,1
86,0.5156484351564844,1
87,0.1344865513448655,1
88,0.7331266873312668,1
89,0.712928707129287,1
90,0.8823117688231177,1
91,0.1473852614738526,1
92,0.7215278472152785,1
93,0.8512148785121488,1
94,0.027497250274972504,0
95,0.44145585441455854,1
96,0.5783421657834217,1
97,0.013498650134986502,0
98,0.5083491650834917,1
99,0.3023697630236976,1
100,0.8691130886911309,1
101,0.9683031696830317,1
102,0.9223077692230777,1
103,0.7241275872412759,1
104,0.33926607339266074,1
105,0.23507649235076492,1
106,0.524047595240476,1
107,0.0775922407759224,1
108,0.5658434156584341,1
109,0.5163483651634837,1
110,0.7878212178782121,1
111,0.10868913108689131,1
112,0.4801519848015198,1
113,0.144985501449855,1
114,0.8845115488451155,1
115,0.44575542445755423,1
116,0.44325567443255676,1
117,0.24617538246175383,1
118,0.17468253174682533,1
119,0.3641635836416358,1
120,0.051394860513948606,1
121,0.9108089191080891,1
122,0.525047495250475,1
123,0.9712028797120288,1
124,0.7851214878512148,1
125,0.6888311168883112,1
126,0.20017998200179982,1
127,0.8660133986601339,1
128,0.31596840315968405,1
129,0.7773222677732227,1
130,0.7969203079692031,1
131,0.13108689131086892,1
132,0.9606039396060394,1
133,0.5825417458254175,1
134,0.5426457354264573,1
135,0.1468853114688531,1
136,0.2876712328767123,1
137,0.07489251074892511,1
138,0.14108589141085892,1
139,0.043995600439956005,0
140,0.37066293370662934,1
141,0.8779122087791221,1
142,0.22827717228277172,1
143,0.36696330366963303,1
144,0.008399160083991601,0
145,0.6126387361263873,1
146,0.8439156084391561,1
147,0.5232476752324767,1
148,0.45735426457354267,1
149,0.22597740225977403,1
150,0.04989501049895011,0
151,0.21677832216778323,1
152,0.686931306869313,1
153,0.28747125287471254,1
154,0.0367963203679632,0
155,0.4764523547645235,1
156,0.0846915308469153,1
157,0.28017198280171984,1
158,0.9845015498450155,1
159,0.29057094290570945,1
160,0.057894210578942104,1
161,0.6099390060993901,1
162,0.6424357564243576,1
163,0.8929107089291071,1
164,0.45035496450354967,1
165,0.687031296870313,1
166,0.40075992400759924,1
167,0.3471652834716528,1
168,0.048095190480951906,0
169,0.6973302669733027,1
170,0.6634336566343366,1
171,0.46195380461953806,1
172,0.8491150884911509,1
173,0.537946205379462,1
174,0.6431356864313569,1
175,0.41915808419158085,1
176,0.0655934406559344,1
177,0.2852714728527147,1
178,0.9999000099990001,1
179,0.4163583641635836,1
180,0.11238876112388761,1
181,0.017598240175982403,0
182,0.7508249175082492,1
183,0.3170682931706829,1
184,0.46115388461153883,1
185,0.7928207179282072,1
186,0.22977702229777022,1
187,0.6095390460953904,1
188,0.2405759424057594,1
189,0.0812918708129187,1
190,0.9912008799120088,1
191,0.0226977302269773,0
192,0.32226777322267774,1
193,0.3127687231276872,1
194,0.8427157284271573,1
195,0.17868213178682132,1
196,0.6879312068793121,1
197,0.8566143385661434,1
198,0.8629137086291371,1
199,0.7506249375062494,1
200,0.44695530446955306,1
201,0.9715028497150285,1
202,0.31986801319868013,1
203,0.5873412658734126,1
204,0.8416158384161584,1
205,0.27507249275072493,1
206,0.626937306269373,1
207,0.9561043895610439,1
208,0.131986801319868,1
209,0.7379262073792621,1
210,0.8651134886511349,1
211,0.46555344465553444,1
212,0.5293470652934706,1
213,0.44625537446255376,1
214,0.019198080191980802,0
215,0.8997100289971003,1
216,0.9242075792420757,1
217,0.08309169083091691,1
218,0.21027897210278973,1
219,0.7449255074492551,1
220,0.061993800619938005,1
221,0.9902009799020098,1
222,0.1351864813518648,1
223,0.9914008599140086,1
224,0.31226877312268775,1
225,0.13958604139586042,1
226,0.035096490350964904,0
227,0.6192380761923808,1
228,0.5989401059894011,1
229,0.9045095490450955,1
230,0.1972802719728027,1
231,0.7744225577442255,1
232,0.8097190280971903,1
233,0.8177182281771823,1
234,0.995000499950005,1
235,0.5286471352864713,1
236,0.6386361363863614,1
237,0.5629437056294371,1
238,0.19518048195180482,1
239,0.6038396160383962,1
240,0.17398260173982602,1
241,0.44325567443255676,1
242,0.8774122587741225,1
243,0.17148285171482852,1
244,0.35896410358964104,1
245,0.3975602439756024,1
246,0.33196680331966805,1
247,0.8718128187181282,1
248,0.8565143485651435,1
249,0.23737626237376264,1
250,0.8667133286671332,1
251,0.1264873512648735,1
252,0.5480451954804519,1
253,0.9579042095790421,1
254,0.23217678232176783,1
255,0.22877712228777122,1
256,0.010998900109989001,0
257,0.8829117088291171,1
258,0.19638036196380362,1
259,0.0608939106089391,1
260,0.5849415058494151,1
261,0.10938906109389061,1
262,0.814018598140186,1
263,0.6972302769723028,1
264,0.8962103789621038,1
265,0.4430556944305569,1
266,0.591940805919408,1
267,0.547045295470453,1
268,0.12428757124287572,1
269,0.3655634436556344,1
270,0.3424657534246575,1
271,0.25577442255774424,1
272,0.395960403959604,1
273,0.7572242775722428,1
274,0.21897810218978103,1
275,0.6506349365063494,1
276,0.5528447155284472,1
277,0.8969103089691031,1
278,0.0471952804719528,0
279,0.37466253374662534,1
280,0.4707529247075293,1
281,0.5308469153084692,1
282,0.048595140485951406,0
283,0.3518648135186481,1
284,0.838016198380162,1
285,0.0230976902309769,0
286,0.7133286671332867,1
287,0.5992400759924008,1
288,0.7992200779922007,1
289,0.7338266173382662,1
290,0.8863113688631137,1
291,0.9838016198380162,1
292,0.6708329167083291,1
293,0.48085191480851913,1
294,0.6097390260973903,1
295,0.3247675232476752,1
296,0.0306969303069693,0
297,0.147985201479852,1
298,0.48235176482351766,1
299,0.761023897610239,1
300,0.6667333266673333,1
301,0.9829017098290171,1
302,0.8451154884511549,1
303,0.19718028197180282,1
304,0.1264873512648735,1
305,0.6516348365163483,1
306,0.9854014598540146,1
307,0.6436356364363564,1
308,0.41675832416758324,1
309,0.055594440555944404,1
310,0.40955904409559046,1
311,0.24397560243975602,1
312,0.5391460853914608,1
313,0.5818418158184182,1
314,0.6325367463253675,1
315,0.06079392060793921,1
316,0.48565143485651435,1
317,0.07599240075992401,1
318,0.5801419858014198,1
319,0.5961403859614038,1
320,0.0390960903909609,0
321,0.015998400159984,0
322,0.7992200779922007,1
323,0.40255974402559747,1
324,0.46735326467353266,1
325,0.21727827217278273,1
326,0.8445155484451555,1
327,0.37696230376962303,1
328,0.5166483351664833,1
329,0.7597240275972402,1
330,0.933006699330067,1
331,0.6024397560243976,1
332,0.533046695330467,1
333,0.31156884311568844,1
334,0.8508149185081492,1
335,0.3104689531046895,1
336,0.1543845615438456,1
337,0.43675632436756323,1
338,0.9791020897910209,1
339,0.7039296070392961,1
340,0.0202979702029797,0
341,0.911008899110089,1
342,0.5333466653334666,1
343,0.8906109389061094,1
344,0.6919308069193081,1
345,0.9147085291470853,1
346,0.09119088091190881,1
347,0.7619238076192381,1
348,0.875012498750125,1
349,0.8181181881811819,1
350,0.16398360163983602,1
351,0.26777322267773224,1
352,0.9414058594140586,1
353,0.4487551244875512,1
354,0.6533346665333467,1
355,0.9663033696630337,1
356,0.12638736126387362,1
357,0.6957304269573042,1
358,0.8709129087091291,1
359,0.32996700329967005,1
360,0.7635236476352365,1
361,0.3160683931606839,1
362,0.6923307669233076,1
363,0.6539346065393461,1
364,0.5361463853614639,1
365,0.5640435956404359,1
366,0.6115388461153884,1
367,0.6264373562643736,1
368,0.44755524447555245,1
369,0.14088591140885912,1
370,0.1598840115988401,1
371,0.8973102689731027,1
372,0.2636736326367363,1
373,0.1760823917608239,1
374,0.14428557144285573,1
375,0.6675332466753324,1
376,0.5645435456454354,1
377,0.0064993500649935,0
378,0.4266573342665733,1
379,0.24467553244675533,1
380,0.4343565643435656,1
381,0.32886711328867113,1
382,0.44755524447555245,1
383,0.3311668833116688,1
384,0.3063693630636936,1
385,0.3675632436756324,1
386,0.8388161183881612,1
387,0.08639136086391361,1
388,0.7508249175082492,1
389,0.5227477252274773,1
390,0.15548445155484453,1
391,0.6073392660733926,1
392,0.995000499950005,1
393,0.7365263473652635,1
394,0.24277572242775722,1
395,0.6497350264973503,1
396,0.5252474752524747,1
397,0.0415958404159584,0
398,0.0040995900409959,0
399,0.928007199280072,1
400,0.5838416158384162,1
401,0.09609039096090391,1
