seq,p_value,appears_random
0,0.9678032196780322,1
1,0.6476352364763523,1
2,0.7431256874312568,1
3,0.39516048395160486,1
4,0.7711228877112288,1
5,0.5569443055694431,1
6,0.5995400459954005,1
7,0.7296270372962703,1
8,0.812018798120188,1
9,0.8797120287971203,1
10,0.015898410158984102,0
11,0.37516248375162486,1
12,0.9151084891510849,1
13,0.7815218478152185,1
14,0.48195180481951805,1
15,0.5358464153584641,1
16,0.27547245275472454,1
17,0.37306269373062695,1
18,0.41885811418858115,1
19,0.27117288271172885,1
20,0.1606839316068393,1
21,0.9619038096190381,1
22,0.8137186281371863,1
23,0.3417658234176582,1
24,0.9056094390560944,1
25,0.6602339766023397,1
26,0.2656734326567343,1
27,0.6686331366863314,1
28,0.0560943905609439,1
29,0.48995100489951005,1
30,0.7586241375862414,1
31,0.24047595240475952,1
32,0.20957904209579042,1
33,0.41255874412558746,1
34,0.016298370162983702,0
35,0.4453554644535546,1
36,0.5152484751524847,1
37,0.46315368463153683,1
38,0.09369063093690631,1
39,0.41995800419958,1
40,0.818018198180182,1
41,0.923007699230077,1
42,0.8095190480951905,1
43,0.9565043495650435,1
44,0.6245375462453755,1
45,0.9906009399060094,1
46,0.5843415658434157,1
47,0.32256774322567744,1
48,0.17628237176282371,1
49,0.8173182681731826,1
50,0.11048895110488952,1
51,0.1341865813418658,1
52,0.3036696330366963,1
53,0.34006599340065996,1
54,0.47755224477552244,1
55,0.6347365263473652,1
56,0.41955804419558046,1
57,0.18738126187381263,1
58,0.4056594340565943,1
59,0.0065993400659934,0
60,0.22677732226777322,1
61,0.24277572242775722,1
62,0.21927807219278073,1
63,0.048595140485951406,0
64,0.37446255374462556,1
65,0.9641035896410359,1
66,0.6233376662333766,1
67,0.9557044295570443,1
68,0.720927907209279,1
69,0.2288771122887711,1
70,0.6821317868213179,1
71,0.8999100089991001,1
72,0.7923207679232077,1
73,0.5547445255474452,1
74,0.6744325567443256,1
75,0.5323467653234677,1
76,0.4333566643335666,1
77,0.5832416758324167,1
78,0.31286871312868714,1
79,0.5975402459754025,1
80,0.37106289371062895,1
81,0.5568443155684432,1
82,0.9828017198280172,1
83,0.5960403959604039,1
84,0.9875012498750125,1
85,0.41585841415858416,1
86,0.8128187181281872,1
87,0.6294370562943705,1
88,0.11138886111388861,1
89,0.809019098090191,1
90,0.05779422057794221,1
91,0.8538146185381462,1
92,0.48655134486551344,1
93,0.47655234476552344,1
94,0.4490550944905509,1
95,0.9853014698530147,1
96,0.09619038096190381,1
97,0.1556844315568443,1
98,0.921007899210079,1
99,0.6498350164983502,1
100,0.18798120187981202,1
101,0.49265073492650735,1
102,0.09109089091090891,1
103,0.5077492250774922,1
104,0.0395960403959604,0
105,0.832016798320168,1
106,0.43325667433256676,1
107,0.0685931406859314,1
108,0.5353464653534646,1
109,0.3601639836016398,1
110,0.3120687931206879,1
111,0.6976302369763023,1
112,0.7678232176782321,1
113,0.24097590240975902,1
